t,EpoRpJAK2_Obs,pEpoRpJAK2_Obs,PTP_Obs,PTPAct_Obs,pSTAT5_Obs,npSTAT5_Obs,CISHnRNA3_Obs,CISHnRNA5_Obs,SOCS3nRNA2_Obs,SOCS3_Obs,Compound_1_Obs
0,0.000330375382602877,-0.0165067996451511,30.8577612639827,0.000154307546967627,0.410782962048882,0.318064429842569,-0.0279900471457439,-0.000567248879316591,0.00108109300025341,1.49321142407432,0.0126421376922502
6.5,NaN,NaN,27.3321989187032,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
15,NaN,0.484358480957977,26.64849540515,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20,0.0482358541298593,NaN,26.4711709725954,NaN,29.5086999282749,29.8718677218301,NaN,NaN,NaN,NaN,NaN
25,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0666669885305656,NaN,NaN,NaN
30,NaN,0.313774176342566,29.8686379992277,NaN,NaN,NaN,0.209248669278229,NaN,NaN,NaN,NaN
35,NaN,NaN,26.5649999634969,NaN,NaN,NaN,NaN,NaN,0.112716439099379,2.69015547547922,0.246236898689165
40,NaN,NaN,NaN,NaN,18.4525534525568,NaN,NaN,NaN,NaN,NaN,NaN
45,0.0458159902861016,0.24393828008382,30.0318094755116,0.0016923931179612,NaN,20.9761855003843,NaN,NaN,NaN,NaN,NaN
50,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.220785202592408,NaN,NaN,NaN
55,NaN,NaN,NaN,NaN,NaN,NaN,0.209127912289837,NaN,NaN,NaN,NaN
60,NaN,0.197115832763373,32.5853516940119,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
65,NaN,NaN,NaN,NaN,12.7693052329356,15.2947978019792,NaN,NaN,NaN,7.26043359969044,NaN
70,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0855300319007434,NaN,0.232602275318501
75,0.0485181194422628,0.156968365138161,29.5629072357692,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
80,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.171349556213376,NaN,NaN,NaN
85,NaN,NaN,NaN,NaN,NaN,NaN,0.134720262335356,NaN,NaN,NaN,NaN
90,NaN,NaN,27.232109987674,NaN,9.98725266998586,9.99455613270095,NaN,NaN,NaN,NaN,NaN
95,NaN,0.14230100474353,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
100,0.047792168002936,0.165212436027096,NaN,0.0023627466058131,9.10743592153119,8.70177544756522,0.111133813978639,0.122704842339528,0.0603335007089379,12.9147383952288,0.176848458081931
150,0.0447021890809784,0.159038606776744,NaN,0.0019018855138471,10.5158233056745,8.42180940177781,0.0779499612233193,0.0660283739521367,0.0447101842627228,8.92264020277504,0.136081659825359
200,0.0497211124712065,0.168766769690933,NaN,0.00218740345792507,12.7593950937932,9.88450450302944,0.0980312452631728,0.0813273172299866,0.0557333088748642,7.88290816031853,0.134108697799684
250,NaN,0.154324309213854,NaN,NaN,12.1629620016715,9.15111679047784,0.0915001436000472,0.107031843028457,0.0501407349259897,8.5996822442101,0.137924628378533
300,NaN,NaN,NaN,0.00239476025036913,NaN,10.8908416713161,0.0845802569932603,0.105624483084451,0.0596428180028718,7.93482798187408,0.167266290012447
350,NaN,NaN,NaN,0.00204107710409716,10.1136992393647,11.9789644732875,0.0929293504217686,0.10255438392573,0.0545574803025981,NaN,0.143075429211437
400,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.9182056517963,NaN
450,NaN,NaN,NaN,NaN,NaN,NaN,0.0720020104273114,NaN,0.0547955569429194,6.95221052135164,0.138977279517495
500,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.144178270621776
550,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0548408247451603,8.13820296767302,NaN
600,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.80090815502427,NaN
650,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0562012271548046,NaN,0.128377018442107
750,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.17786789532257,NaN
850,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.34893986407503,NaN
