t,pEpoRpJAK2_Obs,PTPAct_Obs,CISHnRNA5_Obs,SOCS3_Obs,Compound_1_Obs
0,0.00894744275076607,-0.000202458601195315,-0.00236867422998199,1.7303634090018,-0.00291250111589335
9.5,NaN,NaN,-0.00769768592912717,NaN,NaN
10,0.668106210372113,NaN,NaN,1.65972272852492,NaN
15,NaN,0.00102998275872679,NaN,NaN,0.0654558159041434
20,0.428163263690739,NaN,0.0306208729425067,2.23141610002401,NaN
25,NaN,NaN,NaN,NaN,0.165840135376932
30,NaN,NaN,0.117716663168885,2.51283389670919,NaN
35,0.298287925980318,0.00172731599084766,NaN,NaN,NaN
40,NaN,NaN,0.19780028863907,NaN,0.275653881560455
45,0.239641544074877,NaN,NaN,3.99636469044141,NaN
55,NaN,0.00190037200003924,0.212002327966886,NaN,0.260771542733801
60,0.170879274198872,NaN,NaN,7.66214076836018,NaN
70,NaN,NaN,0.206323206137667,NaN,NaN
75,0.135001876660868,0.00216987414575288,NaN,9.55270820498441,0.211449180057865
85,NaN,NaN,0.141486752308174,NaN,NaN
95,0.152902257992592,0.00182628300786696,NaN,12.7223509368324,0.188034840085784
100,0.141780336290378,0.00191634924144973,0.123086128704842,13.042263433738,0.163130431701536
150,0.16078269737808,0.00193719534219352,0.0898665005691382,9.13576116346894,0.108557386223624
200,0.182755673304132,0.00200446984356837,NaN,7.24087660755752,0.154269596486102
250,NaN,0.00209487087910383,NaN,NaN,NaN
300,NaN,0.00224598138181681,NaN,NaN,NaN
