t,PTP_Obs,Compound_1_Obs
0,29.2965341735679,0.0038205109708691
5,22.1604948780244,NaN
8,NaN,0.0309367556008546
10,29.6726574899681,NaN
15,31.1782797602018,0.0509549412514643
20,27.1923401273035,NaN
25,26.7350768433211,0.166305943635086
35,25.3892466104456,0.242023500963771
40,25.0170436238652,NaN
45,NaN,0.26012736495479
50,26.3942496714359,NaN
60,22.151837595212,0.27975307701686
70,27.6869113454954,NaN
75,NaN,0.239261180263913
85,27.2654615488884,NaN
90,NaN,0.184712002844492
100,NaN,0.176278174025819
150,NaN,0.126454244302744
