t,pEpoRpJAK2_Obs,PTPAct_Obs,pSTAT5_Obs,CISHnRNA3_Obs,CISHnRNA5_Obs,SOCS3_Obs,Compound_1_Obs
0,0.00252938102489267,0.000252234834889502,-1.69896266734083,-0.0005289596533707,-0.00710780343718587,1.54686003463936,-0.00189113727375881
6,0.390044928092302,NaN,NaN,NaN,NaN,NaN,NaN
6.5,NaN,NaN,NaN,NaN,0.00906198153485175,NaN,NaN
7.5,NaN,NaN,34.5124471794043,0.0064888466498838,NaN,NaN,NaN
9.5,NaN,NaN,NaN,NaN,NaN,1.88079160940071,NaN
10,0.228007917547224,0.00248640506439109,NaN,NaN,NaN,NaN,0.0550426459085523
15,NaN,NaN,29.047627064986,0.0280760249372174,0.0128947511913792,NaN,NaN
20,0.142346650353494,NaN,NaN,NaN,0.0237639873725663,1.54194783318173,NaN
25,0.134112568456006,0.00363661708301107,17.8862256078677,0.123785422247581,0.0450897451217343,NaN,0.107855769019439
30,NaN,NaN,14.8754387774353,0.143931813450978,NaN,1.32952804876107,NaN
35,0.10144236650229,0.0042410320806463,NaN,NaN,0.118319089959455,NaN,0.181860701198113
40,NaN,NaN,10.1619188952579,NaN,NaN,3.09205804368264,NaN
45,0.0658743709704074,NaN,NaN,0.168747103648192,0.150038530893513,NaN,NaN
50,NaN,0.00429951719843214,NaN,NaN,NaN,NaN,0.201815550493833
55,0.077685386571406,NaN,7.99353246760495,0.142607505697577,0.153676484337187,4.51354322529319,NaN
65,0.0539553757927914,0.00515189310565769,4.41444920801363,0.119065340814844,0.14693654548021,6.71642718980328,0.178188400914373
80,0.0621610703261918,0.00505701190180038,2.02221076993018,NaN,0.106956437310762,NaN,0.134138198762901
85,NaN,NaN,NaN,0.0637383978457668,NaN,8.72896244907248,NaN
100,0.0587089067511074,0.00509405308635033,2.82899115800711,0.0481724788108317,0.0585241853881972,8.39575143407239,0.0806843805961944
150,NaN,0.00486771397470953,3.67647467152703,NaN,NaN,5.24135841318593,0.0580063731801304
200,NaN,0.00581946455850818,NaN,NaN,NaN,4.22432904461553,0.0679263940303659
