t,pEpoRpJAK2_Obs,PTPAct_Obs,CISHnRNA5_Obs,SOCS3_Obs,Compound_1_Obs
0,-0.0299603809619249,-0.000141556834340939,0.000178532420660121,0.274211282095622,0.01727459869574
8,NaN,NaN,NaN,NaN,0.180089613263058
10,1.4589924766696,NaN,NaN,NaN,NaN
15,NaN,NaN,NaN,2.88059908614663,0.543664205326406
20,NaN,NaN,0.0024317194798454,NaN,NaN
25,0.915715483664838,0.000924487245156083,NaN,NaN,0.653659729172295
35,NaN,NaN,0.0062190752658121,2.81003153483328,0.777294957294287
40,0.717173060445381,NaN,NaN,NaN,NaN
45,NaN,NaN,NaN,NaN,0.734879654916475
50,0.643177953683284,NaN,NaN,NaN,NaN
55,NaN,0.00145352062346119,0.00596745982962016,2.13681048693936,0.69075620174236
65,0.472136063384594,NaN,NaN,NaN,NaN
70,NaN,NaN,NaN,NaN,0.648963809256716
75,NaN,NaN,NaN,1.87661373395013,NaN
80,NaN,0.00169042135721625,0.00574841800041907,NaN,NaN
85,0.49210580835587,NaN,NaN,NaN,0.711737252482623
95,NaN,NaN,NaN,1.58876371765854,NaN
100,0.445178095040595,0.00189453303199378,0.00509191017934766,1.72909360616546,0.726075530664582
150,0.447633145056296,0.00203529739968232,0.00409366836965782,1.43577822887388,NaN
200,0.340303137300124,0.00182624859761049,0.00452065665867541,1.43711848312137,NaN
250,NaN,0.00237684279144755,0.00389854756197737,1.25500871289635,NaN
300,NaN,0.00235773536650835,0.00412286566219986,NaN,NaN
350,NaN,0.00225731387478696,NaN,0.94133885098791,NaN
450,NaN,0.00219319935245438,NaN,NaN,NaN
