t,EpoRpJAK2_Obs,PTP_Obs,SOCS3nRNA2_Obs
0,-0.139543689673672,5.36002465529094,0.000661951226382101
25,NaN,5.18497021258727,NaN
35,1.49709608069712,NaN,NaN
50,NaN,NaN,0.00432548931564238
55,NaN,5.09141457646082,NaN
70,1.45265800570972,NaN,NaN
80,NaN,5.87237826969127,NaN
100,1.60196476733737,5.71825051492892,0.00357454946306154
150,1.66368469649815,4.89658698212391,0.00339854195590764
200,1.7381462094047,5.50919993654715,NaN
250,NaN,5.27762138729794,0.00320474661063349
300,1.65192427647176,4.93488965879605,0.00286233594843956
350,NaN,5.68511896541745,NaN
400,NaN,NaN,0.00315293454134632
450,NaN,4.66283643512251,NaN
