t,EpoRpJAK2_Obs,pSTAT5_Obs,SOCS3nRNA2_Obs
0,-0.0081573030357782,-0.0939103331466315,0.000847697415080689
10,NaN,NaN,0.000813477442802904
15,-0.139855176884661,-0.0772801488089419,NaN
25,NaN,NaN,0.000835146536402352
30,-0.143608434489283,0.043335883098493,NaN
35,NaN,NaN,0.000680745430853467
45,0.0770336229271832,NaN,NaN
50,NaN,0.00525486782677181,0.000678447610534314
60,0.0359033596757145,NaN,NaN
70,NaN,0.0889962203451132,0.000817413918195942
80,0.0405084487436834,NaN,NaN
90,NaN,NaN,0.000816593249333348
95,NaN,0.0553365923524482,NaN
100,-0.00306641432063949,NaN,NaN
