t,JAK1_gp130_Obs,STAT3_Obs,tpSTAT3_Obs,SOCS3RNA_Obs
0,0.523167133098593,27.4401158079622,0.281268819214192,-5.3167530855887e-06
8.5,NaN,21.5525335064418,NaN,NaN
9.5,0.453089552070875,NaN,NaN,NaN
10,NaN,NaN,4.76989947436616,-2.18556744704615e-05
15,NaN,18.012108493208,NaN,NaN
20,0.414043491459739,NaN,6.60873602832479,NaN
25,NaN,18.6730985748832,NaN,0.00134168277967659
30,0.373712796459045,NaN,6.18271025579157,NaN
35,NaN,18.8290428462218,NaN,0.00333965565640008
40,0.303534439038143,NaN,NaN,NaN
45,NaN,20.7593680734573,4.32416626446481,NaN
50,NaN,NaN,NaN,0.00475661737260034
55,0.247852349688226,21.5577892911451,3.59782484827518,NaN
70,0.178332773328558,23.4738432501112,3.29823919454894,0.0030098085326484
85,NaN,23.7265942255188,3.3733268503498,0.0020757165417148
90,0.171897894394539,NaN,NaN,NaN
100,NaN,21.2604712455349,3.23510496476021,0.00198901110232608
150,NaN,22.2771275226017,3.47663273052996,0.00173525483068136
200,NaN,19.6406351143187,3.37928154826555,0.00162831316276943
