t,JAK1_gp130_Obs,STAT3_Obs,tpSTAT3_Obs,SOCS3RNA_Obs
0,0.532062735348421,27.4660770834425,0.24127224949175,8.69656512912996e-05
15,0.479373844290632,21.2255287932659,3.84070861736413,NaN
20,NaN,NaN,NaN,0.000256085979331941
25,NaN,NaN,4.96929202280885,NaN
30,0.415077765237473,22.1049714602257,NaN,NaN
40,NaN,NaN,4.20866730876328,NaN
45,0.387347706305837,NaN,NaN,0.00241034137941314
50,NaN,21.4738858164357,NaN,NaN
55,NaN,NaN,3.13163533175544,NaN
65,0.31787288579028,NaN,NaN,NaN
70,NaN,22.9442733143286,2.94438003834142,0.00229896411586109
85,0.266935937571645,NaN,NaN,NaN
90,NaN,23.1695910470782,2.90697202021112,NaN
100,0.263070788633381,21.5432678772033,2.7658464942824,0.00153412063280669
150,0.213134785759314,22.7144248621237,2.81721497774989,0.00120231926056136
200,0.218875083707823,20.6861038250922,2.81390499153709,0.00126505817900829
250,0.24363625100572,22.7366749728134,2.46424390798321,0.00124251021184067
300,NaN,22.8590549111739,NaN,NaN
350,NaN,NaN,NaN,0.00122915311457162
