t,JAK1_gp130_Obs,STAT3_Obs,SOCS3RNA_Obs
0,0.511131574721087,26.9693234193133,2.61423369122781e-05
5.5,NaN,NaN,2.589018194822e-05
10,NaN,NaN,2.55805027479561e-05
15,NaN,NaN,2.18625001587633e-05
20,0.193252674044365,11.0359416820519,NaN
25,NaN,NaN,1.13279408834461e-05
30,NaN,NaN,7.26981870868289e-06
40,0.160430557622101,12.6731361463834,1.95794983186139e-06
50,NaN,NaN,3.98105183161413e-07
60,NaN,NaN,8.79771968144355e-08
65,0.137547283353753,12.4741687620525,NaN
70,NaN,NaN,2.92044690761262e-07
85,NaN,13.164381877695,1.14728657657593e-07
90,0.119707350045647,NaN,NaN
100,0.101714372743947,13.0843763808411,1.60298639182652e-07
150,0.0868836523900663,14.826994878657,NaN
200,0.0645807522968542,16.7816724102546,NaN
250,0.0429690778110879,20.4092113438201,NaN
300,0.0364102705008573,21.7469818958526,NaN
350,0.0215710888151883,24.3966037297528,NaN
450,0.0116098570690014,24.8569216720565,NaN
