t,JAK1_gp130_Obs,STAT3_Obs,tpSTAT3_Obs,SOCS3RNA_Obs
0,0.488042299014558,27.6872822238335,0.251301139987706,1.67582794603456e-05
10,NaN,NaN,5.32032211010621,NaN
15,NaN,21.5201393231438,NaN,0.000228108742544432
25,0.507765343591408,NaN,2.37624633992502,NaN
30,NaN,23.0591947289922,NaN,NaN
35,NaN,NaN,1.1722780367297,0.00206738009133536
45,NaN,26.1566888514944,NaN,NaN
50,0.393707444399547,NaN,0.645337813580713,NaN
55,NaN,NaN,NaN,0.000820155742042421
65,NaN,25.3414833188969,0.333064409928726,NaN
75,0.408714239035518,NaN,NaN,NaN
80,NaN,NaN,0.262252204784251,9.30232643822784e-05
85,NaN,27.1099595154949,NaN,NaN
100,0.399331259668951,26.7748436841749,0.322330943000065,5.35336061486928e-07
150,0.419086982393112,26.3621406098163,0.227339280481286,-2.0196084136262e-05
200,0.462589800505729,26.9013200778311,0.303982787237648,NaN
250,0.489192272357143,NaN,NaN,NaN
300,0.459313706788412,NaN,NaN,NaN
350,0.516496195632315,NaN,NaN,NaN
450,0.512109796594611,NaN,NaN,NaN
