t,JAK1_gp130_Obs,STAT3_Obs,tpSTAT3_Obs,SOCS3RNA_Obs
0,0.518097818734181,28.1272297120012,0.473456684354223,-5.55848959084297e-06
9.5,NaN,NaN,7.33770045594764,NaN
10,NaN,15.9521298052602,NaN,NaN
15,NaN,NaN,NaN,0.000360951741383197
20,NaN,13.158055074361,8.77810788104568,NaN
25,0.328333009117398,NaN,NaN,NaN
30,NaN,NaN,5.10464237185322,NaN
35,NaN,22.6812385456668,NaN,0.00573234791046196
40,NaN,NaN,2.03644002868973,NaN
45,NaN,24.2208325779656,NaN,NaN
50,0.257943528381737,NaN,NaN,NaN
55,NaN,NaN,0.688171924413781,0.00382090798044426
65,NaN,26.8918049106188,NaN,NaN
70,NaN,NaN,0.41570876479317,NaN
75,0.225265422360248,NaN,NaN,0.000584704362792422
85,NaN,27.2140789143896,0.168261903434563,NaN
100,0.2589611076866,24.3771898119102,0.106308972220478,6.33710401875072e-05
150,0.309301957093721,NaN,-0.000994490358003086,6.76728592780518e-05
200,0.404247286329264,NaN,NaN,NaN
250,0.453937874716184,NaN,NaN,NaN
300,0.458714242544651,NaN,NaN,NaN
350,0.455474562885197,NaN,NaN,NaN
450,0.486580360733269,NaN,NaN,NaN
