t,JAK1_gp130_Obs,STAT3_Obs,SOCS3RNA_Obs
0,0.510307962745464,25.811413557869,5.83410919270954e-05
6.5,NaN,NaN,-2.67341542838942e-06
15,0.255524621468425,10.9002388253513,0.00072864679312605
20,NaN,NaN,0.00195407888285487
30,0.188453289637121,16.9387277617064,0.00711316169442106
35,NaN,NaN,0.00903193429360826
45,0.0773429086102733,20.8749514858549,0.00856726097415939
55,NaN,NaN,0.00445496178842981
60,0.0380122664296068,NaN,NaN
65,NaN,22.1744676601157,NaN
70,NaN,NaN,0.00086540583921932
75,0.0414581299105623,NaN,NaN
80,NaN,20.5951097899175,NaN
85,NaN,NaN,-4.35657695373447e-05
100,0.0440452758925674,19.8164909855091,-3.09676676896809e-05
150,0.0186406049141445,22.4825778719259,NaN
200,0.0120812374063255,23.3128913936866,NaN
250,NaN,24.3352923825319,NaN
300,NaN,24.3373431265397,NaN
