t,JAK1_gp130_Obs,STAT3_Obs,SOCS3RNA_Obs
0,0.511449531710314,25.8594973944332,8.83163590257586e-05
25,0.327992907792139,12.792262305109,0.00249494063492227
45,0.174713094622055,18.6588531531108,0.00728123835331132
70,0.0987786555367646,22.5799655285813,NaN
75,NaN,NaN,0.0028649853321193
95,0.102831004086539,22.6842063543722,NaN
100,NaN,NaN,0.00205216002337189
150,0.169839541205991,23.8783004702901,0.00140970143738414
200,0.216329356249933,25.0729654396024,0.000101666606098424
250,0.334921095554563,24.5816818288283,NaN
300,0.380052458052802,26.1363599227618,0.000102661172470323
350,0.418778298785839,26.2076774393229,4.85746692260601e-05
450,0.458636622718083,26.3695692619661,NaN
