t,JAK1_gp130_Obs,STAT3_Obs,SOCS3RNA_Obs
0,0.500337020735243,25.1041920128246,6.85387716455728e-05
10,NaN,19.0848697217288,NaN
15,NaN,NaN,0.00014162044107597
20,0.378325937778809,14.7283940335969,NaN
25,NaN,NaN,0.00199736067262883
35,NaN,18.1304774361508,NaN
40,NaN,NaN,0.00577327009416865
45,0.252020026407931,20.6711219297167,NaN
60,NaN,24.3977269878315,0.00463321902723174
65,0.17844421893897,NaN,NaN
75,NaN,25.7888191852722,NaN
80,NaN,NaN,0.00137848001350598
90,0.226190082098304,NaN,NaN
95,NaN,27.4250889162489,NaN
100,0.220142052367194,26.8344083632732,0.000204599663657192
150,0.304317699922721,27.9074634969428,2.37021793255409e-05
200,0.372802823924045,NaN,NaN
250,0.414684753263051,NaN,NaN
300,0.455828311070478,NaN,NaN
350,0.446767750598261,NaN,NaN
450,0.471988389480447,NaN,NaN
