t,JAK1_gp130_Obs,STAT3_Obs,SOCS3RNA_Obs
0,0.492800464385157,27.3204417791689,3.68371034385481e-05
9.5,NaN,13.7245396468713,NaN
15,NaN,NaN,0.000450184938737841
20,0.245277632853638,12.1290393955644,NaN
30,NaN,17.401006943804,0.00702685105255133
45,0.210998499567088,24.1561118077101,0.0082645813302187
60,NaN,25.1961776208698,NaN
65,0.152839598047344,NaN,0.00206132428360986
75,NaN,24.7684643433733,NaN
85,NaN,NaN,0.000215318237586026
90,0.221968702672959,NaN,NaN
95,NaN,26.4413104726945,NaN
100,0.198887252085103,26.9875506080863,1.05438953172804e-05
150,0.307357726707578,NaN,-1.11520366636685e-05
200,0.360816479573293,NaN,NaN
250,0.414219923739762,NaN,NaN
300,0.437571975834786,NaN,NaN
350,0.463690570628934,NaN,NaN
450,0.514305728872604,NaN,NaN
