t,input_ruxolitinib,STAT3_Obs,SOCS3RNA_Obs
14,0,27.0661328229473,2.74614444353923e-05
14,10,28.1124584904566,2.66161757890371e-05
14,50,26.9507899600931,2.53619676073175e-05
14,100,26.0347376843239,2.74779265262167e-05
14,100,26.3184367254497,2.40699891048726e-05
14,200,25.9650433141666,2.47967537176333e-05
14,200,26.8155644259698,2.45316651593321e-05
14,400,24.0551237595536,2.71071430543355e-05
14,500,25.8487667067946,2.75294592095839e-05
14,600,26.1690576064016,2.55819409481781e-05
14,600,28.3089851212283,2.63158855055192e-05
14,800,27.1542274201779,2.59685824386337e-05
14,1000,27.3805450528972,2.80136588531135e-05
14,2000,24.9983553446578,2.68161417616963e-05
14,5000,27.3010404408114,2.47690778212595e-05
