t,input_il6,STAT3_Obs,SOCS3RNA_Obs
18,0.1,27.7635902606145,4.78219922949149e-05
18,0.1,27.3125214417918,5.91037050131036e-05
18,0.1,26.4985021702205,3.37293206538715e-05
18,0.1,26.3997992883999,-3.13146594426243e-05
18,1,24.7644479815711,8.8412577742449e-05
18,1,25.5101292151138,-2.20056674658143e-05
18,1,25.9089096994308,5.84219491043344e-05
18,1,24.9621689853402,7.03099252808171e-05
18,5,19.3741195221304,0.000198482602249732
18,5,20.8260196138205,0.00013611938729483
18,5,20.2107426391196,0.000136598905699508
18,5,19.9160680330956,0.000137150953489402
18,10,12.3818090075355,0.00160212357680806
18,10,10.4885751739421,0.00155273905792433
18,10,11.2832274699719,0.00156621096241509
18,10,10.2473868893004,0.00159398197931622
18,50,23.2126906687766,5.20777798926469e-05
18,50,23.469532105194,8.14534230140295e-05
18,50,23.5616922564576,5.52623254972586e-05
18,50,22.9794374759523,4.38435071964327e-05
18,100,13.4458487790024,0.00087766798991158
18,100,13.1891806739108,0.000849552646895694
18,100,14.1325106654566,0.000826501420201611
18,100,13.8351232113884,0.000886348069559841
18,500,10.619228800353,0.00357488392115348
18,500,7.98620489807723,0.00355276567163149
18,500,8.89040547387807,0.00350500604837897
18,500,8.74988697914755,0.00354788410098974
