t,input_stattic,STAT3_Obs,SOCS3RNA_Obs
31,0,15.8730142516786,0.0045629884345716
31,0,16.5013525351778,0.00479546018787964
31,0,16.6618292613555,0.00478350431696594
31,0,16.6726574387197,0.00466907901980139
31,20,21.2251622763757,0.000769045271716665
31,20,21.3737588477919,0.000865796666034717
31,20,21.6622920142653,0.00100659429366451
31,20,21.8485883507662,0.000974981200863956
31,40,23.3371412008012,0.000360654284635913
31,50,23.2614118544685,0.000380034477240423
31,60,23.3806064098519,0.000178938725170003
31,60,23.4083079883928,0.000139493183464589
31,60,24.7862846649076,0.00012660083258807
31,60,25.2329132122946,0.000111160364109316
