t,JAK1_gp130_Obs,STAT3_Obs,SOCS3RNA_Obs
0,0.523035701696734,26.5446916384856,1.39344498978585e-05
9,NaN,12.1913623272051,NaN
10,NaN,NaN,0.000102756072282693
20,0.35214547296965,17.1657242256435,NaN
25,NaN,NaN,0.00527844563691963
30,NaN,20.2261836939831,NaN
35,NaN,NaN,0.00847426030506302
40,NaN,25.4640221849473,NaN
45,0.223846880793697,NaN,NaN
50,NaN,NaN,0.00463199405497621
55,NaN,25.827771584049,NaN
65,NaN,NaN,0.0011117932464236
70,0.209956291195132,27.5215878130669,NaN
85,NaN,25.6568249310784,9.54544582963222e-05
90,0.202643336110629,NaN,NaN
100,0.229257309949603,28.8335241950951,-3.36109511719372e-05
150,0.307390494335125,25.9266958300488,3.1614414919547e-05
200,0.399083511867941,NaN,NaN
250,0.400081756845426,NaN,NaN
300,0.45183955895529,NaN,NaN
350,0.474724530127024,NaN,NaN
450,0.479496537624362,NaN,NaN
