t,JAK1_gp130_Obs,STAT3_Obs,SOCS3RNA_Obs
0,0.509797429281921,26.5956473882556,4.30402357557486e-05
10,NaN,19.7424530442657,5.87464756357315e-05
20,NaN,20.7766544693992,NaN
25,0.468065678819426,NaN,0.0016940203874371
30,NaN,23.6999157971636,NaN
35,NaN,NaN,0.00249307598127662
45,NaN,24.1477442214053,NaN
50,0.367975100935428,NaN,0.00137564874788603
60,NaN,24.2498465663402,NaN
65,NaN,NaN,0.000424088774770828
75,0.354720714824285,26.1691849657243,NaN
85,NaN,NaN,4.68227085522911e-05
95,NaN,27.9024533715044,NaN
100,0.385858467538491,27.1250661605043,3.11156893579483e-05
150,0.399876675718958,25.7921559498136,4.92864237296349e-06
200,0.456211709397099,NaN,NaN
250,0.484705730957647,NaN,NaN
300,0.477698510837065,NaN,NaN
350,0.510983819349664,NaN,NaN
450,0.506730700160815,NaN,NaN
