t,input_il6,JAK1_gp130_Obs,STAT3_Obs,tpSTAT3_Obs,SOCS3RNA_Obs
10,5,0.443498418258968,19.4857393736347,4.91901063237959,3.57446320273822e-05
10,5,0.42685114025424,19.684467553571,4.50970206363476,3.40989119665775e-05
10,5,0.438652059830202,20.0246663433972,4.46006196144365,3.53292170544319e-05
10,5,0.460135883899599,19.7615323404334,4.78175373577167,3.24412022060363e-05
10,20,0.379590345875734,16.7801182347266,7.44066259256972,4.31614726951633e-05
10,20,0.39850704644235,16.3290521431358,7.47753382058942,4.67409688063642e-05
10,20,0.404699538837851,16.931063821592,7.50679217338277,4.54067185184916e-05
10,20,0.381129807200703,15.1354255557953,7.02734883083648,4.78663729319226e-05
10,40,0.487441761142842,24.0081369245604,1.77791442814806,2.70907088227037e-05
10,40,0.503243711673691,23.965263820983,1.56529756191294,2.68105890703516e-05
10,40,0.467339981840835,24.5774413009482,1.77859172576788,2.50448306153471e-05
10,40,0.495916529452748,23.8688691931229,1.67733755434507,3.04543826567904e-05
10,90,0.3034074851884,12.5629493891787,10.408394342559,8.33332433654292e-05
10,90,0.259826890162535,12.9261227928959,10.2608953054246,8.46211628254961e-05
10,90,0.26589284566743,12.8962934251675,10.4998170433062,8.15848920888982e-05
10,90,0.283879488448748,11.1565378978893,10.1066098663578,8.02364884034479e-05
