t,JAK1_gp130_Obs,STAT3_Obs,tpSTAT3_Obs,nSOCS3RNA1_Obs,nSOCS3RNA3_Obs,nSOCS3RNA5_Obs,SOCS3RNA_Obs
0,0.500355851261823,25.3739555211338,0.33740590227509,-0.00985804107445429,0.0210937852532555,0.00313410408766588,6.73834146501159e-05
8,0.394045752631195,18.8231335056833,NaN,0.155054407199729,NaN,NaN,NaN
8.5,NaN,NaN,NaN,NaN,0.0181458411509818,NaN,NaN
9,NaN,NaN,6.8965218689524,NaN,NaN,NaN,NaN
9.5,NaN,NaN,NaN,NaN,NaN,0.00757335882747977,NaN
10,NaN,NaN,NaN,NaN,NaN,NaN,-1.91456001298865e-05
15,0.374047132360381,12.6282152809784,NaN,0.415097325100049,NaN,NaN,NaN
20,NaN,NaN,8.86535872806185,NaN,0.288116002302276,0.0852291892543429,NaN
25,0.309621579809187,15.8075478243331,NaN,0.539116648712357,0.411819514255712,NaN,0.00270138726117778
30,NaN,NaN,7.5196466085716,NaN,NaN,0.314863352850476,NaN
35,0.266601205529566,18.1723516428121,NaN,0.418282500161456,NaN,NaN,0.00585668281715349
40,NaN,NaN,5.30367469510016,NaN,0.452373061152013,0.455424915635677,NaN
45,0.187885931788314,20.6697634334139,NaN,0.243351925526299,NaN,NaN,NaN
50,NaN,NaN,3.77306381709393,NaN,0.298334080145842,NaN,0.00688105607135494
55,NaN,21.9880578592757,NaN,NaN,NaN,0.345367038932427,NaN
60,0.0998607009044385,NaN,NaN,0.122705978381636,NaN,NaN,NaN
65,NaN,NaN,3.03265251930621,NaN,0.158985936919095,0.248435716420211,0.0042032601023553
70,NaN,21.1014713664565,NaN,NaN,NaN,NaN,NaN
75,0.108548157755009,NaN,NaN,0.123169013641089,NaN,NaN,NaN
80,NaN,NaN,3.48634143399041,NaN,0.114882040346083,NaN,NaN
85,NaN,NaN,NaN,NaN,NaN,0.127177310718966,0.00228275898067836
90,NaN,20.0301978147402,NaN,NaN,NaN,NaN,NaN
95,NaN,NaN,4.10456353158779,NaN,0.119235854407228,NaN,NaN
100,NaN,21.7238611937097,4.00826131301961,NaN,0.140607523427888,0.125460816374194,0.00199191506659603
150,NaN,20.264911300675,3.81141715279831,NaN,0.13670163645857,0.134851180876193,0.00226082734552906
200,NaN,NaN,NaN,NaN,NaN,NaN,0.0021379509797629
