t,JAK1_gp130_Obs,STAT3_Obs,SOCS3RNA_Obs
0,0.50250570113006,26.5827921616463,8.95110767561297e-05
10,NaN,13.6871407965426,NaN
15,NaN,NaN,0.000486437138479428
20,0.242593092899545,12.4281646315529,NaN
25,NaN,NaN,0.00443714179057355
35,NaN,20.2906758117762,NaN
40,NaN,NaN,0.00982769746554159
45,0.196289521031965,24.7545642729241,NaN
55,NaN,NaN,0.00574792180420937
60,NaN,25.0222309299736,NaN
70,0.156018749413947,NaN,NaN
75,NaN,NaN,0.000803322892932023
80,NaN,24.926133379661,NaN
95,0.177632585722245,NaN,1.23031724455753e-05
100,0.211993744031283,26.2156516146645,0.000166905116311016
150,0.290420537245726,26.3175412783649,1.74730608948426e-05
200,0.357907552576229,NaN,NaN
250,0.397613783015843,NaN,NaN
300,0.447855806964891,NaN,NaN
350,0.44696424578553,NaN,NaN
450,0.48852489229314,NaN,NaN
