t,input_il6,STAT3_Obs,SOCS3RNA_Obs
30,0,26.7500223663942,-3.68713348497298e-05
30,0,25.4135773932285,9.26885450210153e-06
30,5,20.4781687655745,0.00120097988654912
30,5,18.9782227684144,0.000961655700275386
30,10,15.7407088140302,0.00860535693844874
30,10,16.167651245542,0.00848656815713054
30,20,18.5021845426483,0.002448501298844
30,20,18.823403458904,0.00221406656681876
30,40,17.5867509843016,0.00430142417100162
30,40,16.0314557943989,0.00455195165104214
30,80,21.8669421879137,0.000332139028606383
30,80,22.4653271232618,0.000603292965012364
30,120,15.8989818178889,0.00672767927414915
30,120,16.1440174162679,0.00696074963669827
