t,JAK1_gp130_Obs,STAT3_Obs,SOCS3RNA_Obs
0,0.529162969709607,27.0651399019339,-1.52094439878506e-05
8.5,NaN,13.4503031904935,NaN
15,NaN,15.4891498542327,0.000618235600769876
20,0.447774968037922,NaN,NaN
25,NaN,21.8538374484493,NaN
30,NaN,NaN,0.00450904563665534
35,NaN,23.2991568971665,NaN
45,0.311618872343784,NaN,0.00354900229620619
50,NaN,25.592509871411,NaN
60,NaN,25.1792331445837,NaN
65,NaN,NaN,0.000722772897042951
70,0.271241516194644,NaN,NaN
75,NaN,25.3655722824822,NaN
90,NaN,26.6088698990552,7.22398929154668e-05
95,0.337889546443813,NaN,NaN
100,0.319703379606216,27.7957431629894,7.62211349714344e-05
150,0.353725922309726,26.6266698042821,8.78390074159946e-06
200,0.418916695541114,NaN,NaN
250,0.444993880283301,NaN,NaN
300,0.48658115462057,NaN,NaN
350,0.470504620246428,NaN,NaN
450,0.498251439169689,NaN,NaN
