t,input_stattic,STAT3_Obs,SOCS3RNA_Obs
0,0,25.9466036011447,2.84509892743645e-05
0,0,26.7627006812649,2.65539820054262e-05
0,1,23.3448215730151,2.50485284825801e-05
0,1,26.1229062531122,2.7484848014353e-05
0,5,25.6850347220286,2.40728278333294e-05
0,5,27.0994936903727,2.61883857367003e-05
0,10,26.6643455512611,2.43551039267612e-05
0,10,26.6896334562047,2.63331929574534e-05
0,20,24.1872520368211,2.72697559774896e-05
0,20,26.64790877564,2.75135772777562e-05
0,50,25.4221150621302,2.6190105327353e-05
0,50,26.3564990565487,2.5839644894822e-05
