t,JAK1_gp130_Obs,STAT3_Obs,SOCS3RNA_Obs
0,0.527177056525581,26.6882445737803,-8.42828630299328e-06
10,NaN,16.115705576578,NaN
15,NaN,NaN,0.000276915851605202
20,0.351053855230489,12.6242082723722,NaN
25,NaN,NaN,0.00250778378336423
30,NaN,17.7292690130415,NaN
40,NaN,NaN,0.00687725432415515
45,0.270571307340393,25.3524549730122,NaN
60,NaN,24.3138668546077,0.00324254100347349
65,0.208537997450204,NaN,NaN
80,NaN,25.8289415912256,0.000597919264892126
90,0.208610943737167,NaN,NaN
100,0.253447997602241,26.4332255569946,2.46674776304489e-05
150,0.302245001956698,NaN,-5.95150941133028e-05
200,0.368335727889169,NaN,NaN
250,0.428587367073047,NaN,NaN
300,0.448398718862415,NaN,NaN
350,0.488262432857948,NaN,NaN
450,0.494757008631266,NaN,NaN
