t,input_il6,STAT3_Obs,SOCS3RNA_Obs
11,0,26.1159588787015,2.00012173778627e-05
11,0,26.1457296827318,3.09693222416351e-05
11,0,26.9835151979807,2.76917775493554e-05
11,15,20.6385068180393,3.78976762388435e-05
11,15,20.6932007452701,3.78993169355191e-05
11,15,21.119786546298,3.8794749031088e-05
11,30,17.3495554165743,5.24829017631304e-05
11,30,18.3125386428151,5.07571839483923e-05
11,30,18.9347139925826,5.54067797109904e-05
11,60,12.7362201325817,9.77033201518607e-05
11,60,13.7364126749863,9.29298864189144e-05
11,60,13.8320024020152,9.35069627057955e-05
11,120,10.1828785068337,0.000168686896471308
11,120,10.7065726474983,0.00016853124401704
11,120,10.7590692841101,0.000168067422640145
