t,JAK1_gp130_Obs,STAT3_Obs,SOCS3RNA_Obs
0,0.516136730814204,24.8727410492953,7.0822998891523e-05
9.5,NaN,18.1732962969577,NaN
15,NaN,NaN,0.00029761277906376
20,0.433585913057383,17.0275233612616,NaN
30,NaN,23.070437014163,NaN
35,NaN,NaN,0.00464110570735172
40,NaN,23.7803613167604,NaN
45,0.328676201752487,NaN,NaN
50,NaN,NaN,0.00303262699548191
55,NaN,24.6791476547293,NaN
65,0.29438927050322,NaN,NaN
70,NaN,NaN,0.000587721237418862
75,NaN,25.6852908304191,NaN
90,0.291928580435915,NaN,NaN
95,NaN,25.1226038938041,0.000110445230048509
100,0.306403076298487,26.59274188163,NaN
150,0.378476077902479,NaN,2.37117206777168e-05
200,0.416660948474301,NaN,NaN
250,0.404636533587805,NaN,NaN
300,0.460249107627812,NaN,NaN
350,0.467319107962704,NaN,NaN
450,0.496082868780775,NaN,NaN
