t,JAK1_gp130_Obs,STAT3_Obs,SOCS3RNA_Obs
0,0.507762974707882,27.9788438364627,2.65548891670558e-05
5,NaN,NaN,2.65174979486545e-05
10,NaN,NaN,2.50615679675438e-05
15,NaN,NaN,2.1277765456534e-05
20,NaN,11.8910776678836,1.67668027391206e-05
25,0.187774311503789,NaN,1.0829018974001e-05
35,NaN,11.5882486306008,3.65060359412483e-06
40,NaN,NaN,2.73156136001672e-06
45,0.163192294216967,NaN,NaN
50,NaN,NaN,5.87469852202381e-07
55,NaN,11.3813665399995,NaN
60,NaN,NaN,3.34790374669787e-07
70,0.130505607281255,NaN,4.78735778843866e-07
75,NaN,12.8110351508175,NaN
85,NaN,NaN,-5.63339881181507e-07
95,0.116743763867553,12.8606683798468,NaN
100,NaN,14.9022752507795,2.99212213836262e-07
150,0.0785331628046084,15.2378029052968,NaN
200,0.0560208412258143,17.7688102709869,NaN
250,0.0411082463797343,20.0605327622397,NaN
300,0.0278429962987347,20.0207098739267,NaN
350,0.0156425600622304,NaN,NaN
400,NaN,24.3197657979201,NaN
450,0.0181391866640579,25.3812347675504,NaN
