t,input_ruxolitinib,STAT3_Obs,SOCS3RNA_Obs
27,0,12.8561014743941,0.00330595676488632
27,10,15.6663498040042,0.0031952112622534
27,10,15.8809474915974,0.00300179129767654
27,50,17.9820465730574,0.00197134057575463
27,100,23.9930349123768,0.000192924583178649
27,200,18.4170935580375,0.00119393266427797
27,400,25.6346492993181,0.000147852475110734
27,500,19.3321866310357,0.000577803123664273
27,600,14.7790869900575,0.00253672564455168
27,600,20.4017783942668,0.000410865068305696
27,800,25.5295389425465,3.93095972441336e-05
27,1000,20.8361803198284,0.000425867294020938
27,2000,21.7405864028905,0.000417000548776996
27,5000,22.8867408426826,0.000160622528824714
