t,nSOCS3RNA1_Obs,nSOCS3RNA5_Obs
0,0.00153806405453471,0.00163225158490599
15,0.00161014015238159,NaN
20,NaN,0.00155909503221206
35,0.0015097643425771,NaN
40,NaN,0.00164336802896816
55,0.0016048958010954,NaN
60,NaN,0.00162773728076128
75,0.00160754460615903,NaN
85,NaN,0.00157413153654534
100,0.0014965236789037,0.00162065488684384
150,0.00160874041664476,0.00153889320627245
200,0.00156841680200551,0.00157738410443411
250,0.00165269313895799,0.00151292006729625
300,0.00161835342358003,0.00155250407733413
