t,STAT3_Obs,SOCS3RNA_Obs
0,27.1596034425692,3.93847182393153e-05
20,24.5348810157893,NaN
25,NaN,0.000168089810291311
40,23.4309477499983,NaN
55,NaN,0.000744299241310907
60,22.7067467463348,NaN
80,23.0682143199132,NaN
85,NaN,0.000687890138261407
100,25.142377668421,0.000694315210305302
150,24.1891246191198,0.000567353234650205
200,25.8484501015871,0.000521394292762214
250,24.6770557136109,0.000515314536452914
300,24.3745380828308,0.000485790423095587
350,26.0270964497911,NaN
400,NaN,0.000495863836732641
