t,JAK1_gp130_Obs,STAT3_Obs,SOCS3RNA_Obs
0,0.509000765293201,25.725747477359,-3.38680782482847e-05
15,NaN,11.8803027427578,NaN
20,NaN,NaN,0.00179329871882288
25,0.20562528720012,NaN,NaN
30,NaN,16.363553961164,NaN
35,NaN,NaN,0.00910665887458937
50,0.0933975245821675,20.015694249384,NaN
55,NaN,NaN,0.00714751142531619
65,NaN,21.4219074980113,NaN
75,0.08092217254642,NaN,0.00249452435036525
85,NaN,19.826852325751,NaN
100,0.12292965183821,23.6720762207921,0.00214324214120877
150,0.203203054592814,27.1816590729555,-2.58414408625412e-05
200,0.305863231931947,27.1474809648162,-7.60337371396232e-05
250,0.362408743402546,26.5989052470367,-4.71136486729952e-05
300,0.40934740154146,28.0132553015976,-3.71714479924272e-05
350,0.424007556367118,25.6618012707388,NaN
450,0.471645229821578,NaN,NaN
