t,input_il6,nSOCS3RNA5_Obs
840,0.1,-0.003057083386495
840,0.1,0.000874043432818658
840,0.5,-0.00171197070805895
840,0.5,-0.000907288513097967
840,1,0.00276540382363084
840,1,0.00192057170815388
840,2.5,0.0428717332067268
840,2.5,0.0446868268167272
840,5,0.146620179560408
840,5,0.149482628713903
840,10,0.0150897430725026
840,10,0.0124388411137848
840,25,0.0808956665937355
840,25,0.0757494252060725
840,50,0.0226022964000278
840,50,0.0264237863869896
840,100,0.108120840505541
840,100,0.110404176245293
840,500,0.203725676194819
840,500,0.20399459904167
