t,JAK1_gp130_Obs,STAT3_Obs,SOCS3RNA_Obs
0,0.505187171239652,26.3742858637206,-6.61808884778942e-05
9,NaN,14.5292703818109,NaN
10,0.262198307833887,NaN,NaN
20,NaN,9.96740910723721,NaN
25,0.192142019476667,NaN,0.000231588004383756
30,NaN,10.6780696976176,NaN
40,0.166609183888769,10.478563496486,NaN
45,NaN,NaN,0.00236026737707761
50,NaN,14.0254357690466,NaN
55,0.15752012871373,NaN,NaN
65,NaN,21.185928431898,NaN
70,NaN,NaN,0.00892560622466981
75,0.0879595843920885,20.9297572921821,NaN
95,NaN,20.9213214744816,NaN
100,0.0613626696616561,21.2133286676693,0.00230105462632809
150,NaN,19.2724207300202,0.00293444857290867
200,NaN,NaN,0.00306302738386742
250,NaN,NaN,0.00290832067986751
300,NaN,NaN,0.00279243775757653
350,NaN,NaN,0.0028226868235038
450,NaN,NaN,0.00277753762338807
