t,JAK1_gp130_Obs,STAT3_Obs,SOCS3RNA_Obs
0,0.527019595901859,25.6870182400505,1.31204849107962e-05
9,NaN,21.3985344704,NaN
15,NaN,NaN,9.0065209554988e-05
20,NaN,17.9492637123919,NaN
25,0.480614589421514,NaN,NaN
30,NaN,21.5077076887222,0.00227436282951807
40,NaN,22.6393663012148,NaN
45,NaN,NaN,0.00358145795296073
50,0.366035840707491,23.1848220625617,NaN
60,NaN,NaN,0.00170157424887742
65,NaN,25.9451097072372,NaN
75,0.325752733098875,NaN,NaN
80,NaN,26.6065602667081,0.000330807883156781
95,NaN,26.281367928568,NaN
100,0.314889140808388,24.7387274749932,0.000140773365683563
150,0.35666601583765,24.7370818024232,4.44740854402795e-05
200,0.429928557377775,NaN,NaN
250,0.412931723552926,NaN,NaN
300,0.479238995362311,NaN,NaN
350,0.460946274629951,NaN,NaN
450,0.490965713602921,NaN,NaN
