t,JAK1_gp130_Obs,STAT3_Obs,tpSTAT3_Obs,SOCS3RNA_Obs
0,0.518218916176538,25.4396314558874,0.662409305810099,-2.98832023537491e-05
8.5,0.313514877968682,14.7021275148007,NaN,NaN
10,NaN,NaN,9.91255278285709,NaN
15,NaN,10.8012155441816,NaN,0.000515814359044232
20,0.22099838182192,NaN,10.2668553704272,NaN
25,0.210046253143653,14.0605240526948,NaN,NaN
30,NaN,NaN,8.06028586118919,0.00704493094862343
35,0.15671509556038,18.4569737241672,NaN,NaN
40,NaN,NaN,4.96302212008518,NaN
45,NaN,20.3848083021186,NaN,0.00965463303674084
50,0.0862934729657936,NaN,NaN,NaN
55,NaN,NaN,3.12761813324798,NaN
60,0.0768782203776041,21.2068048967602,NaN,NaN
65,NaN,NaN,NaN,0.00442400506559414
70,NaN,NaN,3.57044585841248,NaN
75,0.0623083554417334,23.8329971693716,NaN,NaN
85,NaN,NaN,4.43124705980897,0.00179513077213677
90,NaN,19.7171185399163,NaN,NaN
95,0.0726672606408415,NaN,NaN,NaN
100,0.0775344247869522,19.7453502868085,4.28030406783629,0.0020180719672907
150,0.0820147421533754,20.7436264903083,4.2718854573806,0.00261592213972793
200,NaN,NaN,4.45421872624175,0.00265331975354646
250,NaN,NaN,NaN,0.00282397590180368
