t,JAK1_gp130_Obs,STAT3_Obs,SOCS3RNA_Obs
0,0.496211787790971,26.2784517198894,8.93229584742847e-05
20,NaN,23.4371880827181,7.18769887315367e-05
25,0.460397958206801,NaN,NaN
40,NaN,22.9004770999242,0.000881888529358995
50,0.426698562858262,NaN,NaN
60,NaN,22.2031695158421,NaN
65,NaN,NaN,0.0013545709691656
75,0.395817013377383,NaN,NaN
80,NaN,23.0602892784425,NaN
90,NaN,NaN,0.00116955266146498
100,0.362325369416316,24.6326916728996,0.00103825188357894
150,0.296067284727364,24.1209300907798,0.000851819141732077
200,0.309074921372817,23.4845959170889,0.000812621675468607
250,NaN,24.89455661214,0.000744076055860077
300,0.293104999804459,24.7679581051463,0.000740902392039219
350,0.303492304177504,24.5515373007749,NaN
400,0.306071918935762,NaN,NaN
