t,input_il6,STAT3_Obs,SOCS3RNA_Obs
14,0.1,27.7496348297373,2.56593143313152e-05
14,0.1,26.8480117525825,2.57144779848922e-05
14,1,28.0850835572549,2.72589091238798e-05
14,1,25.5353165767157,2.81845923249609e-05
14,5,25.8976484822072,2.50914595227273e-05
14,5,25.4558610105251,2.46451388447681e-05
14,10,18.7803298941486,6.27351683573176e-05
14,10,19.0382579793279,6.59850981827218e-05
14,50,26.6917417300947,2.38526455404032e-05
14,50,24.8241903129184,2.16503068783968e-05
14,100,21.7597345671792,3.99350027215795e-05
14,100,20.7147786460918,4.19927721119e-05
14,500,11.45189691631,0.000296807082026462
14,500,10.6113970608312,0.000302012674899083
