t,JAK1_gp130_Obs,STAT3_Obs,SOCS3RNA_Obs
0,0.501736809731506,26.4186991609876,5.90441584333477e-05
9,NaN,12.9834237029047,NaN
10,NaN,NaN,1.4723604678103e-05
20,NaN,16.8297837946757,NaN
25,0.362835867891395,NaN,0.00427075962001104
30,NaN,21.5835008346235,NaN
40,NaN,22.9439956994961,0.00720062293505892
50,0.241802128087973,NaN,0.00450593941773207
55,NaN,25.321144654598,NaN
70,NaN,26.7017519804783,0.000652300989122403
75,0.233150639778557,NaN,NaN
85,NaN,26.9514208711745,NaN
90,NaN,NaN,0.000332858655336014
100,0.258466809028093,27.0663624691798,-8.24721012482017e-05
150,0.333234023636082,NaN,-7.9054590126728e-05
200,0.39757959994632,NaN,NaN
250,0.410913302418095,NaN,NaN
300,0.425330557416271,NaN,NaN
350,0.446734356740331,NaN,NaN
450,0.498764077942051,NaN,NaN
