t,pJAK1_gp130_Obs,STAT3_Obs,SOCS3RNA_Obs
0,0.000230627427502932,24.8980785972047,-3.27041882496289e-05
7.5,0.0556209923871786,7.51650634506176,NaN
15,0.0405015810391389,7.9042134042987,0.0017217792725748
25,0.0335879012705607,15.3691889500742,NaN
30,0.0272734473491523,NaN,0.0122117906392848
35,NaN,17.9323383600098,NaN
40,0.0144632986370026,NaN,NaN
45,NaN,22.686311956296,0.0120857363711104
50,0.010792842747573,NaN,NaN
55,NaN,21.7391383603989,NaN
60,NaN,NaN,0.00578441060113739
65,0.00968099304593509,20.9082823506145,NaN
75,0.0103575828922889,NaN,NaN
80,NaN,19.1508267284534,0.00191201696073892
95,0.0108900366884438,NaN,NaN
100,0.0144812858657816,19.9794491544039,0.00308734939614443
150,0.0119680169907383,19.2631511977422,0.00354490758156682
200,NaN,NaN,0.00384672860885822
