t,SOCS3nRNA2_Obs,SOCS3RNA_Obs
0,0.00824278519516301,0.0309870184252234
10,NaN,0.0216700634278844
15,0.0199302891042374,NaN
20,NaN,0.0323749430685061
25,0.0362214783446482,NaN
30,NaN,0.0460443230996736
40,0.0423227478452259,NaN
45,NaN,0.107505301747449
55,0.0379426282944534,0.128238525912043
70,NaN,0.13918088726849
75,0.0273859708800353,NaN
90,NaN,0.122679566166497
95,0.0175643667153534,NaN
100,0.0184935042626976,0.111120088402025
150,0.0108762431705237,0.0581700202532665
200,0.0163078040264298,NaN
