t,epo_level,SOCS3RNA_Obs
22,2.5e-09,0.0237507489154853
22,2.5e-09,0.0263015359652695
22,2.5e-09,0.0287327665230103
22,2.5e-08,0.0296959969870539
22,2.5e-08,0.0300552910024756
22,2.5e-08,0.034102215774459
22,1.25e-07,0.0367621438916123
22,1.25e-07,0.0383523154363374
22,1.25e-07,0.0403337597170481
22,2.5e-07,0.0445780028550874
22,2.5e-07,0.0455834210727184
22,2.5e-07,0.0495188207782989
22,1.25e-06,0.057311648815605
22,1.25e-06,0.0580248365812137
22,1.25e-06,0.0596232681146425
22,2.5e-06,0.0562962828830424
22,2.5e-06,0.0608385514313722
22,2.5e-06,0.0614564798414715
