t,SOCS3nRNA2_Obs,SOCS3RNA_Obs
0,0.00690565484530399,0.0262869505864887
7.5,0.00670296357968439,NaN
8,NaN,0.0128393122728908
15,0.0319010202761108,0.0357738425558326
25,0.0750539245745689,0.0548063165528003
30,0.0910839960135279,NaN
35,NaN,0.100707557339372
40,0.0983938958539175,NaN
45,NaN,0.189322815290515
55,0.0823692435464565,NaN
60,NaN,0.269975057939337
65,0.0637721060291631,NaN
75,NaN,0.309323400621666
85,0.0383699969819349,NaN
90,NaN,0.276429525526669
100,0.0255821180461747,0.220925508040449
150,0.0145059355563849,0.0914076692615276
