t,epo_level,SOCS3RNA_Obs
7,2.5e-09,0.0278032394550227
7,7.905e-09,0.0237581296068118
7,1.25e-08,0.0281474492603342
7,1.75e-08,0.0278289253044858
7,1.75e-08,0.0283208333350705
7,1.75e-08,0.0290459208656463
7,2.5e-08,0.0248341884227228
7,3.95e-08,0.0266494559168087
7,7.9e-08,0.0291691242308723
7,1.25e-07,0.0248804125350327
7,1.7675e-07,0.0261389802211714
7,1.7675e-07,0.0281352886040645
7,1.7675e-07,0.0294906332055524
7,2.5e-07,0.0235922243012658
7,7.905e-07,0.030625589839403
7,2.5e-06,0.026377417548565
7,2.5e-06,0.0267809682191196
7,2.5e-06,0.0270667666320513
