t,epo_level,SOCS3RNA_Obs
6,0,0.00667514872360969
6,0,0.00746680807342404
6,4.2857e-08,0.00677021739745398
6,4.2857e-08,0.00754843142166737
6,1.4286e-07,0.00707882476703466
6,1.4286e-07,0.00757234869941597
6,4.2857e-07,0.0067609454405828
6,4.2857e-07,0.00680855912104353
6,1.4286e-06,0.00665842878828824
6,1.4286e-06,0.00712023342761799
6,4.2857e-06,0.00670239825283831
6,4.2857e-06,0.00740234283165436
6,1.4286e-05,0.00713918974168173
6,1.4286e-05,0.00758855562997798
6,4.2857e-05,0.00695406424624032
6,4.2857e-05,0.00772288051597904
