t,epo_level,SOCS3RNA_Obs
16,6.6667e-07,0.00644214656368535
16,6.6667e-07,0.00713469561432319
16,1.3333e-06,0.00711389623612838
16,1.3333e-06,0.00833146916528443
16,2.6667e-06,0.00693323926903876
16,2.6667e-06,0.00797805958130011
16,5.3333e-06,0.00725670972042712
16,5.3333e-06,0.00771260101156556
16,1.0667e-05,0.00693449732702295
16,1.0667e-05,0.00783001451245492
16,2.1333e-05,0.00642877807356663
16,2.1333e-05,0.0067787911931138
16,4.2667e-05,0.00659499788230972
16,4.2667e-05,0.00789878471786713
