t,Y_state_Obs,A_state_Obs
0,1.74979162058893,0.6101552499784
0.15,1.82952559907321,NaN
0.35,2.8046644583278,1.0836876111812
0.55,2.74086942550607,NaN
0.7,NaN,1.55256900008641
0.75,3.11160762662642,NaN
0.95,3.76198773318347,NaN
1,3.32151155963401,1.87543377429751
1.5,3.88634841867554,2.09743428353446
2,4.85827512002282,2.13452425672816
2.5,4.90233288559554,1.76936535185136
3,5.42794080404842,1.4542380299913
3.5,5.3363914111985,NaN
4,5.28853913899805,1.01652214584484
4.5,NaN,1.01070394145828
5.5,NaN,0.867008569383727
6.5,NaN,1.01607069416295
