timepoint,Bac_Obs,Ind_Obs
0,0.0255884554828662,-0.015987425143561
300,0.0406535271409734,NaN
450,NaN,0.00670551995380432
650,0.0478145500747592,NaN
950,0.0621368564791631,0.0104607330892034
1500,0.408302586391222,0.266101208115511
2000,0.680080258851039,0.589076241324943
2500,0.874764899336658,0.699997057141752
3000,NaN,0.624278658496501
3500,1.0577482455208,NaN
4000,1.11183942791871,0.413561324991668
5000,1.09716562619798,0.333439530741997
5500,1.11887484327594,NaN
6000,NaN,0.213980030959305
7000,NaN,0.172500084494566
8500,NaN,0.0872450052823266
