timepoint,Bac_Obs,Ind_Obs
0,0.00824080628073732,-0.00141120051780529
400,0.0617279153378063,NaN
500,NaN,0.0027815759250828
850,-0.00481429050989612,NaN
1000,NaN,0.0233929546000032
1500,-0.0151646964472416,0.036052737861091
2000,0.111268227952023,0.0861894748381509
2500,0.397122303254889,NaN
3000,0.527539733850769,0.240059899654294
3500,NaN,0.154594457689285
4000,0.597436568539719,NaN
4500,0.587096250487392,0.0717759750691118
5500,0.566027546379069,0.0475090101191623
7000,0.569691637179153,0.020016154160205
8500,0.618344914817233,0.0142304089861383
