timepoint,Bac_Obs,Ind_Obs
0,0.0395706175471432,1.76444106844827e-05
200,-0.0274700203366343,NaN
350,NaN,0.00275041579909395
400,0.0432646614357444,NaN
600,0.0833790275364375,NaN
750,NaN,0.00258622351689669
850,0.31541520901447,NaN
1000,0.444727172198375,0.00235526812355757
1500,0.767125248192761,0.00221244470648741
2000,0.935099816777333,0.00224445564519021
2500,0.997613028662565,0.00183972573385991
3000,0.966716298564097,0.00170940267498612
3500,0.990739539316161,NaN
4000,NaN,0.00157537150206718
4500,NaN,0.00141188979183013
5500,NaN,0.00144923700788817
7000,NaN,0.00122895366508823
