timepoint,Bac_Obs,Ind_Obs
0,0.0559593556557647,-0.0254975517402924
200,0.0307445213860223,NaN
450,0.0388318550245578,-0.00020559310442951
700,0.0784406663477319,NaN
900,NaN,0.0167390118213355
950,0.216932494677619,NaN
1000,0.316939514955606,NaN
1500,0.707892650134181,0.271564211664487
2000,1.20658325021147,0.679654240056436
2500,1.45464119089442,0.756529246530771
3000,NaN,0.603490936574012
3500,1.61638867161454,NaN
4000,1.51880732195152,0.299010964213586
5000,NaN,0.143381686723379
6000,NaN,0.072665262053989
7000,NaN,0.0360237618618118
8500,NaN,0.0221824094736968
