timepoint,Bac_Obs,Ind_Obs
0,0.0350674391866327,0.0111553714228313
350,0.00140631461765239,NaN
450,NaN,-0.00666183164134591
700,0.0789029552992405,NaN
900,NaN,0.00511165742344286
1000,0.160474729283558,NaN
1500,0.261013556141175,0.107416556610193
2000,0.480231760310591,0.273269034741932
2500,0.61257991296029,0.422099457644041
3000,0.665614662635297,0.432580616227971
3500,0.653382828960126,NaN
4000,0.78562454617777,0.354197936888098
5000,0.735847946843844,0.228498431334894
6000,0.787887280621311,0.151927462497406
7000,NaN,0.11269052699048
8500,NaN,0.0632154626440759
