timepoint,Bac_Obs,Ind_Obs
0,0.00625159401157778,0.0247311426121393
300,0.0188933086540189,NaN
350,NaN,-0.00695583215983417
600,0.0520100292956365,NaN
750,NaN,-0.00443617260402977
900,0.143806425416255,NaN
1000,NaN,-0.000245777902578435
1500,0.33431675274437,0.128220607625197
2000,0.611868739079154,0.350235280594982
2500,0.731611289350775,0.485617301045083
3000,0.826295186649355,0.496688574474571
3500,0.797447219922413,NaN
4000,NaN,0.353334956507518
4500,0.850750180760575,0.296394242847195
5500,0.827347646670917,0.162436613149655
7000,NaN,0.0735832283615927
