timepoint,Bac_Obs,Ind_Obs
0,-0.0119730626902316,8.53596847260049e-06
150,-0.00726663035743873,NaN
350,0.0483195416722011,NaN
400,NaN,0.00276546998008571
500,0.0446476628713353,NaN
700,0.101958026861571,NaN
800,NaN,0.00244815684147003
950,0.267599194454439,NaN
1000,0.308385196086917,0.00245921533811341
1500,0.69395990466507,0.00231227520807128
2000,0.940643562934509,0.00206921879056942
2500,0.949092046307125,0.00186743583104546
3000,0.946179793935686,NaN
3500,NaN,0.00151492415649301
4000,NaN,0.00153112285290889
5000,NaN,0.00140752404583083
6000,NaN,0.00121252110437825
7500,NaN,0.0010935910477189
