timepoint,Bac_Obs,Ind_Obs
0,0.049675256775799,0.000109396822754008
200,0.0752303324661571,NaN
400,0.105566224407353,NaN
500,NaN,0.00269819983864934
600,0.073400581257903,NaN
800,0.168040414189577,NaN
1000,0.308854433703809,0.0024386932310127
1500,0.729441803181526,0.00219442259521059
2000,1.00174481416439,0.00203876100409513
2500,1.13192040872044,NaN
3000,1.10471205386526,0.0017948282583579
3500,NaN,0.00159583466545732
4000,1.11013606092422,NaN
4500,NaN,0.001516549640971
5500,NaN,0.00127243923323149
7000,NaN,0.000978018363494344
8500,NaN,0.000768639810061891
