timepoint,Bac_Obs,Ind_Obs
0,0.0226476105458125,-0.0137218508457371
200,0.043556619810107,NaN
400,0.0289343494592385,-0.024841423055345
650,0.152731441710327,NaN
850,0.254056147367884,0.0576772878274894
1000,0.360508245263909,NaN
1500,0.765101760217202,0.481873729525822
2000,1.16263037900352,0.703922447281359
2500,1.27689049017218,0.655084831499455
3000,1.33589224983351,0.569802406048156
3500,1.34158369031739,0.4666300404109
4500,NaN,0.312542365440918
5000,NaN,0.29831410674073
6000,NaN,0.195782590855724
7500,NaN,0.156666000380515
8500,NaN,0.120599847804543
