timepoint,Bac_Obs,Ind_Obs
0,0.0106788562663603,6.45489168550804e-05
150,0.0240306146426587,NaN
350,0.0537106422297,NaN
400,NaN,0.00274575586878226
500,0.0844884417734377,NaN
700,0.128273820268723,NaN
850,NaN,0.00263011460675909
950,0.302972709868091,NaN
1000,0.345388412412736,NaN
1500,0.879023645403932,0.00223220816536621
2000,NaN,0.00202365055159975
2500,NaN,0.00196217359440416
3000,NaN,0.00166646919878945
3500,NaN,0.00161883342825394
4500,NaN,0.00149835097094165
5500,NaN,0.0011999623642247
6500,NaN,0.00117803465876693
8000,NaN,0.000961641127864176
