timepoint,Bac_Obs,Ind_Obs
0,-0.00122348332244634,-0.00430984086920207
350,0.0411498359072421,NaN
400,NaN,-0.00438845206209451
700,0.0812990953972601,NaN
750,NaN,0.00666423346114462
1000,0.0770399464645171,-0.000263037891309553
1500,0.0930186205522301,0.0415659631638756
2000,0.220006441405388,0.0835691130676411
2500,0.367287848589985,0.211243942008506
3000,0.559549494491529,0.364047601766472
4000,0.952451368980643,0.507811044648692
4500,NaN,0.463957320953253
5000,1.24645127727344,NaN
5500,NaN,0.303209306676515
6000,1.3455059387495,NaN
6500,NaN,0.178396844990427
7500,NaN,0.086279640685604
