timepoint,Bac_Obs,Ind_Obs
0,0.00569591556890097,0.0290491015670237
100,0.0250171784369612,NaN
250,0.08445404443819,NaN
350,0.0311943270221563,NaN
400,NaN,-0.00419084718134074
500,0.0548633816844945,NaN
600,0.072555268469048,NaN
750,0.186111100657835,NaN
850,NaN,0.0210567202904277
950,0.30181732329144,NaN
1000,0.416000116163773,NaN
1500,1.02851740143566,0.461556543100623
2000,1.28276401154182,0.772125748166861
2500,1.26878284597968,0.701167060635055
3000,NaN,0.461110589105232
3500,NaN,0.345829306351676
4500,NaN,0.1708268735928
5500,NaN,0.0962697719568908
6500,NaN,0.0450016551182003
8000,NaN,0.0157196676630798
