timepoint,Bac_Obs,Ind_Obs
0,0.0382899635588,0.000719506978642896
200,0.0750683504884098,NaN
400,0.0848651440355087,0.029193425013968
600,0.082092929941672,NaN
850,0.165037308252132,0.0174546495341255
1000,0.193095291916704,NaN
1500,0.489423661438687,0.163001723855126
2000,0.787127533589428,0.460333450170471
2500,1.02845424999836,0.6083624688042
3000,1.11112293077717,0.57070550481508
3500,1.13945154103986,0.468770877110074
4000,1.17438814380699,NaN
4500,NaN,0.26075635397546
5500,NaN,0.148140117261071
6500,NaN,0.0744954273314014
8000,NaN,0.0595804876737095
