timepoint,Bac_Obs,Ind_Obs
0,0.0075779981546375,9.45985265877086e-06
200,0.0609590806247949,NaN
350,0.0455846405438054,NaN
450,NaN,0.00272335663709918
550,0.0811696188763403,NaN
750,0.136184774974098,NaN
900,NaN,0.00258455078565204
1000,0.160544846891246,NaN
1500,0.335852392688329,0.00227796002299955
2000,0.402319629859413,0.00204260413675639
2500,0.427966621367849,0.00206064971814455
3000,0.458823580499942,0.00177344613604487
3500,NaN,0.00181124843654582
4500,NaN,0.00146504522673933
5500,NaN,0.00124552443087505
6000,NaN,0.00124789709823071
7500,NaN,0.000999038882638693
8500,NaN,0.000939939071154432
